Company,Category,Subcategory,Website,MainPhone,AffiliateProgramURL,AffiliateEmail,AffiliatePlatform,RecommendedContactPath,Priority,Status,Notes
HigherDose,Environmental — Light,Red Light + Sauna Blanket,https://higherdose.com,Not publicly listed,https://higherdose.com/pages/affiliates,affiliates@higherdose.com,Impact,Apply via Impact platform — manager assigned after approval; ask for rate uplift after first 30 days of traffic,High,Open,Also listed under Sauna category; flagship FIR blanket + red light panels; strong female wellness brand alignment
BonCharge,Environmental — Light,Red Light + Blue Blockers + FIR Blanket,https://boncharge.com,Not publicly listed,https://boncharge.com/pages/affiliate-program,Not publicly listed,Impact,Apply via affiliate signup at boncharge.com/pages/affiliate-program — manager assigned after approval,High,Open,Also listed under Sauna; covers red light / blue blockers / FIR blanket — broad SKU coverage per client
Mito Red Light,Environmental — Light,Red Light Therapy Panels,https://mitoredlight.com,Not publicly listed,https://mitoredlight.com/pages/affiliate-program,Not publicly listed,Direct (Referral Hero),Apply via affiliate signup at mitoredlight.com/pages/affiliate-program — manager assigned after approval,High,Open,Competitive commission rates; strong clinical-language brand fit
Joovv,Environmental — Light,Red Light Therapy Panels,https://joovv.com,Not publicly listed,https://joovv.com/pages/affiliate-program,affiliates@joovv.com,Direct,Apply via joovv.com/pages/affiliate-program — email affiliates@joovv.com to introduce practice context,High,Open,Premium panels; higher AOV means higher commission dollars per sale even at standard rate
PlatinumLED,Environmental — Light,Red Light Therapy Panels,https://platinumled.com,1-888-480-5888,https://platinumled.com/pages/affiliate-program,Not publicly listed,Direct,Apply via platinumled.com/pages/affiliate-program; main phone 1-888-480-5888 if no response within 7 days,High,Open,Strong clinical community rep; good fit for practitioner referral program
BlockBlueLight,Environmental — Light,Blue-Light Blocking Glasses,https://blockbluelight.com,Not publicly listed,https://blockbluelight.com/pages/affiliates,affiliates@blockbluelight.com,Not publicly listed,Apply via blockbluelight.com/pages/affiliates — mention clinical/practitioner context in application,Medium,Open,Australian brand; ships globally; broad SKU (glasses + screen covers + bulbs)
BluBlox,Environmental — Light,Blue-Light Blocking Glasses,https://blublox.com,Not publicly listed,https://blublox.com/pages/affiliate,Not publicly listed,Impact,Apply via Impact platform through blublox.com/pages/affiliate,Medium,Open,Premium positioning; good alignment with sleep optimization messaging
Aero-Tech Light Bulb Co.,Environmental — Light,Heritage Incandescent,https://aero-tech.us,1-888-430-5775,No public affiliate program — direct outreach required,Not publicly listed,Direct — Outreach Required,Call 1-888-430-5775 or email via contact form at aero-tech.us; pitch a wholesale/referral arrangement directly — no formal affiliate program exists,High,Open,TJ-flagged for Heritage incandescent line; small manufacturer — direct wholesale or referral arrangement most likely path; not a consumer affiliate program
Newcandescent,Environmental — Light,Incandescent Rough-Service,https://newcandescent.com,Not publicly listed,No public affiliate program found — direct outreach required,Not publicly listed,Direct — Outreach Required,Contact via website form at newcandescent.com; pitch referral/wholesale arrangement directly,Medium,Open,Niche incandescent supplier; no formal affiliate infrastructure found
Satco,Environmental — Light,Electrical / Rough-Service Incandescent,https://satco.com,1-800-992-7826,No public affiliate program — wholesale/distributor model,Not publicly listed,Direct — Outreach Required,Call 1-800-992-7826; Satco sells through distributors — ask about authorized reseller or referral program for practitioners,Medium,Open,Large lighting manufacturer; primarily B2B distributor model — affiliate is not the right framing; pitch authorized referral arrangement
